num_heads_enc: 2	num_heads_dec: 8	dropout: 0.1	hidden_size_enc: 64	hidden_size_dec: 64	batch_size: 128
Steps: 750	Loss: 105120.42188	PPL: 140.79556	bleu: 0.00000	LR: 0.00020000	*
Steps: 1500	Loss: 95579.78125	PPL: 89.86381	bleu: 0.00000	LR: 0.00020000	*
Steps: 2250	Loss: 89839.37500	PPL: 68.58907	bleu: 1.47168	LR: 0.00020000	*
Steps: 1500	Loss: 95579.78125	PPL: 89.86381	bleu: 0.00000	LR: 0.00020000	*
Steps: 3000	Loss: 84800.23438	PPL: 54.10760	bleu: 3.23912	LR: 0.00020000	*
Steps: 2250	Loss: 89839.37500	PPL: 68.58907	bleu: 1.47168	LR: 0.00020000	*
Steps: 3750	Loss: 81144.35156	PPL: 45.55485	bleu: 4.94654	LR: 0.00020000	*
Steps: 3000	Loss: 84800.23438	PPL: 54.10760	bleu: 3.23912	LR: 0.00020000	*
Steps: 4500	Loss: 78791.94531	PPL: 40.78055	bleu: 6.21687	LR: 0.00020000	*
Steps: 3750	Loss: 81144.35156	PPL: 45.55485	bleu: 4.94654	LR: 0.00020000	*
Steps: 5250	Loss: 76133.97656	PPL: 35.98537	bleu: 5.98899	LR: 0.00020000	*
Steps: 4500	Loss: 78791.94531	PPL: 40.78055	bleu: 6.21687	LR: 0.00020000	*
Steps: 6000	Loss: 73684.20312	PPL: 32.06671	bleu: 7.17878	LR: 0.00020000	*
Steps: 5250	Loss: 76133.97656	PPL: 35.98537	bleu: 5.98899	LR: 0.00020000	*
Steps: 6750	Loss: 72009.38281	PPL: 29.63617	bleu: 8.62888	LR: 0.00020000	*
Steps: 6000	Loss: 73684.20312	PPL: 32.06671	bleu: 7.17878	LR: 0.00020000	*
Steps: 7500	Loss: 69693.81250	PPL: 26.57623	bleu: 8.62436	LR: 0.00020000	*
Steps: 6750	Loss: 72009.38281	PPL: 29.63617	bleu: 8.62888	LR: 0.00020000	*
Steps: 8250	Loss: 68014.25781	PPL: 24.55639	bleu: 11.22782	LR: 0.00020000	*
Steps: 7500	Loss: 69693.81250	PPL: 26.57623	bleu: 8.62436	LR: 0.00020000	*
Steps: 9000	Loss: 66325.66406	PPL: 22.68041	bleu: 10.49986	LR: 0.00020000	*
Steps: 8250	Loss: 68014.25781	PPL: 24.55639	bleu: 11.22782	LR: 0.00020000	*
Steps: 9750	Loss: 65381.73828	PPL: 21.69490	bleu: 12.81472	LR: 0.00020000	*
Steps: 9000	Loss: 66325.66406	PPL: 22.68041	bleu: 10.49986	LR: 0.00020000	*
Steps: 10500	Loss: 63903.42969	PPL: 20.23681	bleu: 12.14529	LR: 0.00020000	*
Steps: 9750	Loss: 65381.73828	PPL: 21.69490	bleu: 12.81472	LR: 0.00020000	*
Steps: 11250	Loss: 62741.62891	PPL: 19.16001	bleu: 13.59227	LR: 0.00020000	*
Steps: 10500	Loss: 63903.42969	PPL: 20.23681	bleu: 12.14529	LR: 0.00020000	*
Steps: 12000	Loss: 61648.69922	PPL: 18.19939	bleu: 16.22294	LR: 0.00020000	*
Steps: 11250	Loss: 62741.62891	PPL: 19.16001	bleu: 13.59227	LR: 0.00020000	*
Steps: 12750	Loss: 60778.54688	PPL: 17.46914	bleu: 15.88185	LR: 0.00020000	*
Steps: 12000	Loss: 61648.69922	PPL: 18.19939	bleu: 16.22294	LR: 0.00020000	*
Steps: 13500	Loss: 59573.24609	PPL: 16.50578	bleu: 16.80673	LR: 0.00020000	*
Steps: 12750	Loss: 60778.54688	PPL: 17.46914	bleu: 15.88185	LR: 0.00020000	*
