num_heads_enc: 2	num_heads_dec: 2	dropout: 0.1	hidden_size_enc: 128	hidden_size_dec: 128	batch_size: 128
Steps: 750	Loss: 98787.86719	PPL: 104.50951	bleu: 0.00000	LR: 0.00020000	*
Steps: 1500	Loss: 89838.61719	PPL: 68.58662	bleu: 1.70616	LR: 0.00020000	*
Steps: 2250	Loss: 81769.39062	PPL: 46.91481	bleu: 5.94416	LR: 0.00020000	*
Steps: 3000	Loss: 75418.27344	PPL: 34.79345	bleu: 7.64381	LR: 0.00020000	*
Steps: 3750	Loss: 71075.61719	PPL: 28.36198	bleu: 9.52663	LR: 0.00020000	*
Steps: 4500	Loss: 67257.07031	PPL: 23.69671	bleu: 12.36085	LR: 0.00020000	*
Steps: 5250	Loss: 64198.24609	PPL: 20.51955	bleu: 12.27704	LR: 0.00020000	*
Steps: 6000	Loss: 61548.78125	PPL: 18.11401	bleu: 14.92080	LR: 0.00020000	*
Steps: 6750	Loss: 60243.37109	PPL: 17.03464	bleu: 17.35492	LR: 0.00020000	*
Steps: 7500	Loss: 58019.44531	PPL: 15.34184	bleu: 18.11984	LR: 0.00020000	*
Steps: 8250	Loss: 56559.35547	PPL: 14.32301	bleu: 21.62345	LR: 0.00020000	*
Steps: 9000	Loss: 55018.61328	PPL: 13.32117	bleu: 21.75577	LR: 0.00020000	*
Steps: 9750	Loss: 54382.41406	PPL: 12.92823	bleu: 21.63773	LR: 0.00020000	*
Steps: 10500	Loss: 53124.63672	PPL: 12.18515	bleu: 22.76085	LR: 0.00020000	*
Steps: 11250	Loss: 52596.97656	PPL: 11.88628	bleu: 24.74668	LR: 0.00020000	*
Steps: 12000	Loss: 51522.55469	PPL: 11.30018	bleu: 24.35515	LR: 0.00020000	*
Steps: 12750	Loss: 51294.03906	PPL: 11.17930	bleu: 27.03690	LR: 0.00020000	*
Steps: 13500	Loss: 50557.81641	PPL: 10.79859	bleu: 28.28838	LR: 0.00020000	*
Steps: 14250	Loss: 50220.36328	PPL: 10.62844	bleu: 28.36957	LR: 0.00020000	*
Steps: 15000	Loss: 49866.15625	PPL: 10.45273	bleu: 28.30698	LR: 0.00020000	*
Steps: 15750	Loss: 49961.56250	PPL: 10.49977	bleu: 28.23508	LR: 0.00020000	
Steps: 16500	Loss: 49217.31641	PPL: 10.13837	bleu: 30.83112	LR: 0.00020000	*
Steps: 17250	Loss: 49061.64062	PPL: 10.06436	bleu: 30.75966	LR: 0.00020000	*
Steps: 18000	Loss: 48783.79297	PPL: 9.93361	bleu: 31.34491	LR: 0.00020000	*
Steps: 18750	Loss: 49234.49219	PPL: 10.14657	bleu: 31.30197	LR: 0.00020000	
Steps: 19500	Loss: 48514.92969	PPL: 9.80871	bleu: 32.21530	LR: 0.00020000	*
Steps: 20250	Loss: 49202.85938	PPL: 10.13147	bleu: 32.69185	LR: 0.00020000	
Steps: 21000	Loss: 48524.93359	PPL: 9.81333	bleu: 31.91478	LR: 0.00020000	
Steps: 21750	Loss: 48340.35156	PPL: 9.72845	bleu: 32.95641	LR: 0.00020000	*
Steps: 22500	Loss: 48309.32031	PPL: 9.71425	bleu: 32.81046	LR: 0.00020000	*
Steps: 23250	Loss: 48397.37891	PPL: 9.75459	bleu: 32.50276	LR: 0.00020000	
Steps: 24000	Loss: 48532.55859	PPL: 9.81685	bleu: 31.46830	LR: 0.00020000	
Steps: 24750	Loss: 48680.34375	PPL: 9.88536	bleu: 33.70718	LR: 0.00020000	
Steps: 25500	Loss: 48503.11328	PPL: 9.80325	bleu: 33.63420	LR: 0.00020000	
Steps: 26250	Loss: 48758.98047	PPL: 9.92202	bleu: 34.24115	LR: 0.00020000	
Steps: 27000	Loss: 48823.25391	PPL: 9.95207	bleu: 34.27063	LR: 0.00020000	
Steps: 27750	Loss: 48927.33203	PPL: 10.00094	bleu: 33.71233	LR: 0.00020000	
Steps: 28500	Loss: 48711.56250	PPL: 9.89990	bleu: 34.49427	LR: 0.00020000	
Steps: 29250	Loss: 48994.76953	PPL: 10.03273	bleu: 33.61130	LR: 0.00014000	
