num_heads_enc: 2	num_heads_dec: 4	dropout: 0.1	hidden_size_enc: 64	hidden_size_dec: 64	batch_size: 128
Steps: 750	Loss: 105307.62500	PPL: 142.04147	bleu: 0.00000	LR: 0.00020000	*
Steps: 750	Loss: 105307.62500	PPL: 142.04147	bleu: 0.00000	LR: 0.00020000	*
Steps: 1500	Loss: 95559.41406	PPL: 89.77773	bleu: 0.00000	LR: 0.00020000	*
Steps: 1500	Loss: 95559.41406	PPL: 89.77773	bleu: 0.00000	LR: 0.00020000	*
Steps: 2250	Loss: 89776.85938	PPL: 68.38757	bleu: 1.42421	LR: 0.00020000	*
Steps: 2250	Loss: 89776.85938	PPL: 68.38757	bleu: 1.42421	LR: 0.00020000	*
Steps: 3000	Loss: 84899.07031	PPL: 54.35987	bleu: 3.92394	LR: 0.00020000	*
Steps: 3000	Loss: 84899.07031	PPL: 54.35987	bleu: 3.92394	LR: 0.00020000	*
Steps: 3750	Loss: 81101.93750	PPL: 45.46400	bleu: 4.87454	LR: 0.00020000	*
Steps: 3750	Loss: 81101.93750	PPL: 45.46400	bleu: 4.87454	LR: 0.00020000	*
Steps: 4500	Loss: 78455.03906	PPL: 40.13903	bleu: 5.27550	LR: 0.00020000	*
Steps: 4500	Loss: 78455.03906	PPL: 40.13903	bleu: 5.27550	LR: 0.00020000	*
Steps: 5250	Loss: 75741.78125	PPL: 35.32725	bleu: 6.70882	LR: 0.00020000	*
Steps: 5250	Loss: 75741.78125	PPL: 35.32725	bleu: 6.70882	LR: 0.00020000	*
Steps: 6000	Loss: 72963.39844	PPL: 30.99713	bleu: 7.42481	LR: 0.00020000	*
Steps: 6000	Loss: 72963.39844	PPL: 30.99713	bleu: 7.42481	LR: 0.00020000	*
Steps: 6750	Loss: 70765.75000	PPL: 27.95137	bleu: 9.03431	LR: 0.00020000	*
Steps: 6750	Loss: 70765.75000	PPL: 27.95137	bleu: 9.03431	LR: 0.00020000	*
Steps: 7500	Loss: 68834.47656	PPL: 25.52285	bleu: 9.74393	LR: 0.00020000	*
Steps: 7500	Loss: 68834.47656	PPL: 25.52285	bleu: 9.74393	LR: 0.00020000	*
Steps: 8250	Loss: 67111.56250	PPL: 23.53499	bleu: 11.78959	LR: 0.00020000	*
Steps: 8250	Loss: 67111.56250	PPL: 23.53499	bleu: 11.78959	LR: 0.00020000	*
Steps: 9000	Loss: 65438.73438	PPL: 21.75317	bleu: 11.82907	LR: 0.00020000	*
Steps: 9000	Loss: 65438.73438	PPL: 21.75317	bleu: 11.82907	LR: 0.00020000	*
Steps: 9750	Loss: 64592.81641	PPL: 20.90416	bleu: 13.83948	LR: 0.00020000	*
Steps: 9750	Loss: 64592.81641	PPL: 20.90416	bleu: 13.83948	LR: 0.00020000	*
Steps: 10500	Loss: 62883.96875	PPL: 19.28879	bleu: 14.19028	LR: 0.00020000	*
Steps: 10500	Loss: 62883.96875	PPL: 19.28879	bleu: 14.19028	LR: 0.00020000	*
Steps: 11250	Loss: 61859.56250	PPL: 18.38090	bleu: 14.79334	LR: 0.00020000	*
Steps: 11250	Loss: 61859.56250	PPL: 18.38090	bleu: 14.79334	LR: 0.00020000	*
Steps: 12000	Loss: 60537.41406	PPL: 17.27201	bleu: 16.38792	LR: 0.00020000	*
Steps: 12000	Loss: 60537.41406	PPL: 17.27201	bleu: 16.38792	LR: 0.00020000	*
Steps: 12750	Loss: 59850.67969	PPL: 16.72271	bleu: 17.06272	LR: 0.00020000	*
Steps: 12750	Loss: 59850.67969	PPL: 16.72271	bleu: 17.06272	LR: 0.00020000	*
Steps: 13500	Loss: 58867.09375	PPL: 15.96625	bleu: 18.39070	LR: 0.00020000	*
Steps: 13500	Loss: 58867.09375	PPL: 15.96625	bleu: 18.39070	LR: 0.00020000	*
Steps: 14250	Loss: 58394.37109	PPL: 15.61495	bleu: 19.31762	LR: 0.00020000	*
Steps: 14250	Loss: 58394.37109	PPL: 15.61495	bleu: 19.31762	LR: 0.00020000	*
Steps: 15000	Loss: 57343.87500	PPL: 14.86172	bleu: 19.27090	LR: 0.00020000	*
Steps: 15000	Loss: 57343.87500	PPL: 14.86172	bleu: 19.27090	LR: 0.00020000	*
Steps: 15750	Loss: 57012.23438	PPL: 14.63156	bleu: 21.14449	LR: 0.00020000	*
Steps: 15750	Loss: 57012.23438	PPL: 14.63156	bleu: 21.14449	LR: 0.00020000	*
Steps: 16500	Loss: 56436.05859	PPL: 14.24014	bleu: 21.37434	LR: 0.00020000	*
Steps: 16500	Loss: 56436.05859	PPL: 14.24014	bleu: 21.37434	LR: 0.00020000	*
Steps: 17250	Loss: 55808.28125	PPL: 13.82556	bleu: 21.57670	LR: 0.00020000	*
Steps: 17250	Loss: 55808.28125	PPL: 13.82556	bleu: 21.57670	LR: 0.00020000	*
Steps: 18000	Loss: 55345.83594	PPL: 13.52791	bleu: 22.24429	LR: 0.00020000	*
Steps: 18000	Loss: 55345.83594	PPL: 13.52791	bleu: 22.24429	LR: 0.00020000	*
Steps: 18750	Loss: 54973.41406	PPL: 13.29287	bleu: 22.71187	LR: 0.00020000	*
Steps: 18750	Loss: 54973.41406	PPL: 13.29287	bleu: 22.71187	LR: 0.00020000	*
Steps: 19500	Loss: 54331.25391	PPL: 12.89714	bleu: 23.15002	LR: 0.00020000	*
Steps: 19500	Loss: 54331.25391	PPL: 12.89714	bleu: 23.15002	LR: 0.00020000	*
Steps: 20250	Loss: 54500.03125	PPL: 12.99999	bleu: 24.42027	LR: 0.00020000	
Steps: 20250	Loss: 54500.03125	PPL: 12.99999	bleu: 24.42027	LR: 0.00020000	
Steps: 21000	Loss: 53513.70703	PPL: 12.41033	bleu: 23.89919	LR: 0.00020000	*
Steps: 21000	Loss: 53513.70703	PPL: 12.41033	bleu: 23.89919	LR: 0.00020000	*
Steps: 21750	Loss: 53492.25391	PPL: 12.39781	bleu: 24.77920	LR: 0.00020000	*
Steps: 21750	Loss: 53492.25391	PPL: 12.39781	bleu: 24.77920	LR: 0.00020000	*
Steps: 22500	Loss: 53190.23828	PPL: 12.22283	bleu: 23.94805	LR: 0.00020000	*
Steps: 22500	Loss: 53190.23828	PPL: 12.22283	bleu: 23.94805	LR: 0.00020000	*
Steps: 23250	Loss: 53177.82031	PPL: 12.21569	bleu: 26.09343	LR: 0.00020000	*
Steps: 23250	Loss: 53177.82031	PPL: 12.21569	bleu: 26.09343	LR: 0.00020000	*
Steps: 24000	Loss: 52906.56250	PPL: 12.06073	bleu: 25.98254	LR: 0.00020000	*
Steps: 24000	Loss: 52906.56250	PPL: 12.06073	bleu: 25.98254	LR: 0.00020000	*
Steps: 24750	Loss: 52596.72266	PPL: 11.88614	bleu: 26.47460	LR: 0.00020000	*
Steps: 24750	Loss: 52596.72266	PPL: 11.88614	bleu: 26.47460	LR: 0.00020000	*
Steps: 25500	Loss: 52302.86719	PPL: 11.72289	bleu: 25.94011	LR: 0.00020000	*
Steps: 25500	Loss: 52302.86719	PPL: 11.72289	bleu: 25.94011	LR: 0.00020000	*
Steps: 26250	Loss: 52870.73828	PPL: 12.04041	bleu: 27.56390	LR: 0.00020000	
Steps: 26250	Loss: 52870.73828	PPL: 12.04041	bleu: 27.56390	LR: 0.00020000	
Steps: 27000	Loss: 52317.96484	PPL: 11.73122	bleu: 26.50254	LR: 0.00020000	
Steps: 27000	Loss: 52317.96484	PPL: 11.73122	bleu: 26.50254	LR: 0.00020000	
Steps: 27750	Loss: 52205.91016	PPL: 11.66951	bleu: 27.55496	LR: 0.00020000	*
Steps: 27750	Loss: 52205.91016	PPL: 11.66951	bleu: 27.55496	LR: 0.00020000	*
Steps: 28500	Loss: 51810.82422	PPL: 11.45454	bleu: 28.76769	LR: 0.00020000	*
Steps: 28500	Loss: 51810.82422	PPL: 11.45454	bleu: 28.76769	LR: 0.00020000	*
Steps: 29250	Loss: 51849.24609	PPL: 11.47527	bleu: 29.40725	LR: 0.00020000	
Steps: 29250	Loss: 51849.24609	PPL: 11.47527	bleu: 29.40725	LR: 0.00020000	
