num_heads_enc: 16	num_heads_dec: 16	dropout: 0.3	hidden_size_enc: 256	hidden_size_dec: 256	batch_size: 512
Steps: 200	Loss: 30077.50977	PPL: 109.90438	bleu: 0.00000	LR: 0.00020000	*
Steps: 400	Loss: 26926.13477	PPL: 67.16879	bleu: 2.01984	LR: 0.00020000	*
Steps: 600	Loss: 24269.58789	PPL: 44.35046	bleu: 3.98977	LR: 0.00020000	*
Steps: 800	Loss: 22300.69141	PPL: 32.60557	bleu: 7.30657	LR: 0.00020000	*
Steps: 1000	Loss: 20939.85547	PPL: 26.36012	bleu: 11.42216	LR: 0.00020000	*
Steps: 1200	Loss: 20102.40234	PPL: 23.12699	bleu: 11.69381	LR: 0.00020000	*
Steps: 1400	Loss: 19342.07422	PPL: 20.53640	bleu: 14.22276	LR: 0.00020000	*
Steps: 1600	Loss: 18615.93750	PPL: 18.33369	bleu: 14.20819	LR: 0.00020000	*
Steps: 1800	Loss: 18025.78516	PPL: 16.71872	bleu: 17.42068	LR: 0.00020000	*
Steps: 2000	Loss: 17566.46680	PPL: 15.56088	bleu: 21.29886	LR: 0.00020000	*
Steps: 2200	Loss: 17217.77344	PPL: 14.73576	bleu: 19.39681	LR: 0.00020000	*
Steps: 2400	Loss: 17058.42188	PPL: 14.37339	bleu: 21.66079	LR: 0.00020000	*
Steps: 2600	Loss: 16961.94531	PPL: 14.15834	bleu: 21.95956	LR: 0.00020000	*
Steps: 2800	Loss: 16931.50977	PPL: 14.09117	bleu: 21.88695	LR: 0.00020000	*
Steps: 3000	Loss: 16797.63281	PPL: 13.79947	bleu: 24.32217	LR: 0.00020000	*
Steps: 3200	Loss: 16872.91016	PPL: 13.96274	bleu: 24.80019	LR: 0.00020000	
Steps: 3400	Loss: 16884.62891	PPL: 13.98833	bleu: 23.74012	LR: 0.00020000	
Steps: 3600	Loss: 17083.15625	PPL: 14.42904	bleu: 26.09406	LR: 0.00020000	
